HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
4609,1291,889,125,488,50,866,901,142,32,2023-03-16-00-49
4283,1058,889,126,489,61,771,904,141,31,2023-03-16-01-28
4682,1311,922,124,487,60,951,838,145,28,2023-03-16-02-10
4810,1251,921,124,489,59,1042,933,143,31,2023-03-16-02-51
4792,1293,926,126,491,59,1050,861,143,28,2023-03-16-03-33
4497,1184,927,129,491,60,836,891,143,25,2023-03-16-04-23
4286,1078,925,129,491,60,763,860,144,25,2023-03-16-05-02
5083,1308,924,129,491,60,1251,941,144,24,2023-03-16-05-16
4501,1168,924,129,491,60,814,937,145,22,2023-03-16-05-29
4708,1244,922,129,489,60,965,922,144,22,2023-03-16-05-43
4451,1176,928,129,489,60,800,891,144,23,2023-03-16-05-55
4709,1286,928,128,489,61,869,969,145,23,2023-03-16-06-08
4855,1261,928,128,488,60,1138,863,144,33,2023-03-16-06-19
4740,1261,931,129,489,60,912,973,142,32,2023-03-16-06-32
4367,1136,943,140,488,60,762,865,140,33,2023-03-16-06-43
4417,1057,947,144,493,60,792,954,138,36,2023-03-16-06-53
4330,996,958,145,495,61,834,875,133,39,2023-03-16-07-04
4373,951,1079,153,521,61,769,882,131,40,2023-03-16-07-17
4231,712,1479,184,587,60,518,789,127,19,2023-03-16-07-30
4551,593,1751,255,692,61,647,733,128,7,2023-03-16-07-44
4785,500,1918,271,811,64,841,588,120,7,2023-03-16-08-01
4901,337,2648,323,974,66,489,325,120,8,2023-03-16-08-23
4879,310,2703,355,987,68,479,261,132,7,2023-03-16-08-53
4642,314,2503,338,1004,66,459,228,127,7,2023-03-16-09-04
4918,351,2777,351,1022,66,445,193,123,7,2023-03-16-09-17
4975,343,2859,362,1055,64,438,147,126,7,2023-03-16-09-30
4909,309,2930,355,1032,59,413,94,124,7,2023-03-16-09-45
4561,295,2751,322,1056,53,253,74,125,7,2023-03-16-10-04
4870,322,3019,359,1104,45,223,66,129,7,2023-03-16-10-16
4925,328,3068,371,1099,46,241,57,125,7,2023-03-16-10-28
4829,338,2987,357,1072,47,222,79,124,7,2023-03-16-10-41
4692,359,2787,375,1020,44,241,158,120,7,2023-03-16-11-13
4936,377,2968,375,949,41,235,284,115,8,2023-03-16-11-27
4538,631,2177,278,754,40,384,461,123,8,2023-03-16-11-48
4944,1147,1826,270,600,37,589,637,120,25,2023-03-16-12-04
4962,1132,1779,262,616,36,639,644,127,25,2023-03-16-12-20
4868,1238,1563,247,618,35,692,609,119,29,2023-03-16-12-35
4845,1152,1557,236,668,36,718,616,101,33,2023-03-16-13-00
4869,884,1926,254,966,37,549,405,108,31,2023-03-16-13-22
4879,562,2451,279,1255,38,378,111,107,15,2023-03-16-13-35
4949,549,2554,309,1252,38,378,93,108,15,2023-03-16-13-48
4659,540,2325,301,1247,40,345,79,107,16,2023-03-16-14-00
4684,531,2355,294,1247,37,365,55,114,17,2023-03-16-14-22
4904,518,2614,291,1250,36,354,36,115,17,2023-03-16-14-36
4698,480,2428,283,1258,54,361,42,112,17,2023-03-16-14-48
4958,447,2658,332,1283,49,335,111,110,14,2023-03-16-15-13
4901,461,2626,330,1211,46,307,183,99,14,2023-03-16-15-28
4921,492,2596,328,1177,46,298,240,104,14,2023-03-16-15-41
4283,506,2069,250,966,46,321,299,108,14,2023-03-16-15-53
5019,537,2566,330,977,43,371,446,107,15,2023-03-16-16-13
4859,550,2421,319,936,43,403,439,96,14,2023-03-16-16-30
4785,883,1908,282,694,44,617,544,118,21,2023-03-16-17-09
4849,983,1730,258,638,46,681,672,120,25,2023-03-16-17-28
4747,1090,1474,224,534,41,772,725,124,28,2023-03-16-17-47
4431,1060,1524,227,608,37,449,642,117,31,2023-03-16-18-07
4509,657,1786,253,837,31,555,527,121,26,2023-03-16-18-28
4202,514,1637,147,921,47,524,460,126,20,2023-03-16-18-43
4552,548,1965,282,909,41,526,467,125,12,2023-03-16-18-59
4109,593,1561,197,916,38,466,435,126,12,2023-03-16-19-12
4511,660,1941,287,891,31,506,375,125,13,2023-03-16-19-27
4591,654,2140,266,887,36,395,374,128,13,2023-03-16-19-45
4745,579,2091,275,970,37,578,384,129,14,2023-03-16-20-03
4558,671,1754,239,960,29,608,417,132,16,2023-03-16-20-21
4126,1080,1064,145,578,33,539,688,136,41,2023-03-16-21-15
3399,932,1106,160,554,31,261,361,136,49,2023-03-16-21-27
4421,962,1005,130,539,26,955,767,139,54,2023-03-16-21-43
4524,1347,809,117,460,23,990,728,139,51,2023-03-17-00-31
4835,425,2418,241,1124,44,560,194,107,7,2023-03-17-09-32
4725,357,2485,253,1103,42,513,157,103,7,2023-03-17-09-48
4451,325,2418,281,1166,40,331,108,96,7,2023-03-17-10-04
4776,323,2676,281,1265,38,310,93,102,7,2023-03-17-10-18
4763,337,2638,279,1259,37,316,103,103,7,2023-03-17-10-32
4866,331,2732,279,1257,39,331,107,101,7,2023-03-17-10-45
4832,311,2700,279,1239,40,333,146,96,7,2023-03-17-10-58
4830,309,2653,279,1216,41,351,197,96,8,2023-03-17-11-12
4777,319,2562,277,1142,41,362,285,96,11,2023-03-17-11-28
4554,984,1693,211,727,43,513,502,109,26,2023-03-17-11-56
4566,1045,1555,207,668,38,557,599,112,30,2023-03-17-12-11
4694,1168,1493,195,617,39,608,647,126,35,2023-03-17-12-45
4637,1108,1532,205,641,41,559,623,136,38,2023-03-17-13-00
4763,869,1961,226,813,41,535,427,128,30,2023-03-17-13-24
4804,638,2499,256,1021,43,338,158,137,13,2023-03-17-13-40
4602,631,2286,255,1043,44,377,122,128,15,2023-03-17-13-52
4823,623,2529,254,1042,43,367,119,130,13,2023-03-17-14-07
4795,611,2565,251,1020,43,337,121,128,13,2023-03-17-14-21
4633,600,2363,246,1018,42,389,121,128,14,2023-03-17-14-35
4639,582,2442,246,1013,49,323,138,128,13,2023-03-17-14-48
4692,563,2417,242,918,42,408,252,120,14,2023-03-17-15-12
4662,650,2290,236,828,63,465,288,130,11,2023-03-17-15-28
4664,670,2213,233,815,54,479,348,130,9,2023-03-17-15-44
4641,694,2167,235,713,71,523,394,138,12,2023-03-17-15-58
4578,721,2128,224,642,69,452,476,147,12,2023-03-17-16-12
4732,747,2156,223,597,66,546,526,148,12,2023-03-17-16-27
4760,761,2107,208,616,85,583,533,147,13,2023-03-17-16-43
4734,1155,1539,157,432,67,841,599,150,18,2023-03-17-17-22
4545,1173,1450,154,429,64,744,579,149,21,2023-03-17-17-40
4532,1194,1369,143,387,30,795,601,163,23,2023-03-17-17-56
4548,1098,1455,150,412,26,849,555,157,22,2023-03-17-18-12
4351,950,1609,152,499,29,661,439,167,26,2023-03-17-18-28
4588,963,1650,152,562,55,742,467,178,26,2023-03-17-18-44
4542,970,1617,158,574,56,769,418,170,24,2023-03-17-19-01
4444,979,1610,151,599,55,646,413,172,25,2023-03-17-19-17
4411,1012,1578,150,604,55,626,390,176,25,2023-03-17-19-31
4461,1006,1526,148,625,57,704,408,169,23,2023-03-17-19-47
4467,1060,1333,146,599,56,868,403,181,23,2023-03-17-20-02
4383,1088,1351,143,606,57,751,378,184,25,2023-03-17-20-18
4249,1099,1263,139,581,52,743,360,179,24,2023-03-17-20-31
4402,1262,1145,123,452,49,881,463,176,23,2023-03-17-20-59
4202,1293,1062,113,447,38,716,493,168,23,2023-03-17-21-13
4397,1222,1016,112,425,36,980,557,172,25,2023-03-17-21-25
4511,1291,1033,107,422,31,1044,525,171,25,2023-03-17-21-40
4154,1258,984,105,417,28,735,564,170,26,2023-03-17-21-55
3820,1155,918,106,432,44,568,547,168,32,2023-03-17-22-20
3757,1104,896,99,419,43,580,556,167,35,2023-03-17-22-31
