HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
4114,1455,726,104,361,13,716,672,144,40,2023-03-21-06-00
4241,1477,729,105,359,14,818,675,144,39,2023-03-21-06-12
4222,1484,729,105,362,14,795,668,143,41,2023-03-21-06-24
4213,1448,770,110,363,14,772,676,142,42,2023-03-21-06-35
4495,1455,777,118,367,14,1025,688,140,43,2023-03-21-06-49
4183,1324,788,125,371,15,838,682,138,42,2023-03-21-07-01
4101,1265,871,141,397,16,728,662,137,41,2023-03-21-07-14
4163,979,1390,175,448,16,575,615,133,23,2023-03-21-07-29
4405,874,1703,278,554,39,537,609,123,5,2023-03-21-07-42
4386,816,1783,250,687,25,530,448,117,5,2023-03-21-07-58
4441,472,2196,297,1019,39,423,214,112,5,2023-03-21-08-18
4619,386,2471,296,1124,18,330,193,110,5,2023-03-21-08-33
4640,321,2517,293,1114,14,349,214,120,5,2023-03-21-08-48
4688,327,2639,295,1109,34,305,186,117,5,2023-03-21-09-01
4638,299,2641,294,1088,29,330,153,122,5,2023-03-21-09-15
4590,294,2642,299,1091,18,315,141,102,5,2023-03-21-09-28
4583,274,2758,295,1046,28,274,133,93,5,2023-03-21-09-44
4553,255,2790,261,1043,12,214,167,79,5,2023-03-21-10-18
4374,257,2624,259,1020,12,219,170,79,5,2023-03-21-10-30
4394,280,2605,257,1027,12,221,174,82,5,2023-03-21-10-41
4288,277,2523,260,990,12,244,167,82,5,2023-03-21-10-54
4511,289,2691,258,991,12,260,194,81,5,2023-03-21-11-07
4588,346,2691,255,933,12,263,269,81,5,2023-03-21-11-22
4311,515,2197,251,849,12,311,344,89,6,2023-03-21-11-45
4393,1012,1638,225,575,11,490,571,88,19,2023-03-21-12-00
4467,999,1595,228,556,10,551,645,95,26,2023-03-21-12-17
4463,1027,1397,216,458,5,666,775,104,36,2023-03-21-12-34
4451,1065,1441,219,491,4,623,697,97,37,2023-03-21-12-50
4410,951,1534,220,561,4,579,648,96,41,2023-03-21-13-04
4494,664,2082,258,780,3,420,419,92,37,2023-03-21-13-28
4381,427,2315,268,1087,8,305,151,87,9,2023-03-21-13-41
4486,418,2470,271,1077,10,297,131,83,10,2023-03-21-13-54
4315,403,2295,274,1113,10,291,113,92,8,2023-03-21-14-06
4563,399,2567,278,1108,12,293,102,87,7,2023-03-21-14-29
4581,399,2556,278,1119,12,301,111,89,6,2023-03-21-14-43
4573,397,2566,286,1128,12,279,107,91,5,2023-03-21-14-58
4460,381,2439,276,960,10,358,222,93,7,2023-03-21-15-19
4417,377,2325,276,926,13,391,294,100,4,2023-03-21-15-33
4422,405,2298,262,888,14,408,317,100,6,2023-03-21-15-47
4477,418,2340,258,769,16,437,395,109,9,2023-03-21-16-00
4415,418,2255,247,742,17,431,450,113,6,2023-03-21-16-14
4560,447,2327,259,754,17,451,466,109,6,2023-03-21-16-28
4542,507,2245,253,722,17,453,513,97,5,2023-03-21-16-43
4402,782,1812,201,443,15,571,684,103,7,2023-03-21-16-59
4545,903,1680,189,402,34,711,737,105,7,2023-03-21-17-15
4390,971,1550,180,369,30,624,750,118,8,2023-03-21-17-33
4498,1084,1424,131,368,25,737,743,121,21,2023-03-21-17-51
4371,1198,1247,136,337,15,805,640,127,17,2023-03-21-21-02
4034,1251,1052,120,302,11,661,612,128,28,2023-03-21-21-26
4223,1250,993,119,318,24,789,713,133,27,2023-03-21-21-38
3999,1293,927,97,341,45,645,629,135,29,2023-03-21-21-51
4274,1314,905,93,326,37,871,685,139,34,2023-03-21-22-03
4254,1314,828,101,315,26,964,648,145,40,2023-03-21-22-37
4587,1379,842,93,316,25,1171,693,147,39,2023-03-21-22-53
4596,1409,843,107,323,26,1136,700,146,39,2023-03-21-23-09
3783,1130,822,105,322,26,714,613,143,39,2023-03-21-23-28
3828,1191,829,104,321,25,684,624,142,37,2023-03-21-23-38
4363,1368,826,103,322,25,1002,667,142,36,2023-03-21-23-51
4548,1402,786,101,323,25,1174,685,143,35,2023-03-22-00-05
3699,1131,822,99,320,25,646,604,144,32,2023-03-22-00-52
4623,1403,823,100,319,25,1230,667,145,36,2023-03-22-01-34
4043,1385,823,100,313,25,691,649,145,37,2023-03-22-02-14
4600,1402,820,101,318,24,1235,645,146,34,2023-03-22-02-57
4286,1344,826,101,317,25,951,667,145,36,2023-03-22-03-38
4019,1221,823,101,317,25,887,598,143,30,2023-03-22-04-18
4507,1405,792,101,317,25,1145,674,144,30,2023-03-22-05-00
4459,1376,792,101,317,25,1136,663,145,30,2023-03-22-05-13
3861,1161,824,101,317,25,766,617,145,31,2023-03-22-05-24
4522,1406,824,101,317,25,1200,601,145,29,2023-03-22-05-38
4022,1210,828,102,318,25,901,588,146,31,2023-03-22-05-50
4304,1337,831,102,318,25,1051,587,146,34,2023-03-22-06-02
3749,1103,832,103,320,25,706,608,144,36,2023-03-22-06-12
4276,1300,833,106,320,25,1052,590,144,37,2023-03-22-06-24
4424,1375,839,111,312,25,1127,588,145,38,2023-03-22-06-36
3715,998,842,115,338,48,773,580,146,38,2023-03-22-06-46
4225,1260,849,115,339,44,984,612,143,38,2023-03-22-06-58
4279,1186,879,126,361,39,1127,550,138,38,2023-03-22-07-14
4345,893,1376,149,460,62,861,598,135,22,2023-03-22-07-30
4374,812,1580,185,533,50,823,493,127,6,2023-03-22-07-45
4521,698,1829,215,783,53,761,318,126,6,2023-03-22-08-06
4487,430,2207,244,1081,49,481,170,113,5,2023-03-22-08-23
4475,369,2174,247,1151,46,482,174,120,5,2023-03-22-08-36
4477,340,2212,244,1138,45,501,162,120,4,2023-03-22-08-50
4590,329,2369,258,1128,45,467,173,120,4,2023-03-22-09-03
4688,308,2496,266,1169,63,442,146,123,4,2023-03-22-09-16
4695,294,2484,258,1246,69,392,187,88,4,2023-03-22-09-33
4530,277,2514,265,1163,64,320,165,87,4,2023-03-22-09-46
4401,289,2562,297,1135,60,181,141,90,3,2023-03-22-10-08
4637,295,2689,317,1210,60,155,189,96,3,2023-03-22-10-22
4490,304,2557,293,1190,58,159,183,94,3,2023-03-22-10-34
4624,298,2679,319,1192,59,162,206,84,3,2023-03-22-10-48
4567,315,2520,320,1169,52,180,296,84,3,2023-03-22-11-14
4666,341,2606,316,1072,51,190,373,81,3,2023-03-22-11-28
4450,643,1870,233,754,47,442,655,83,3,2023-03-22-11-58
4567,1065,1611,187,596,49,492,696,99,8,2023-03-22-12-16
4521,1255,1300,146,391,40,673,774,117,11,2023-03-22-12-35
4440,1162,1394,146,393,43,611,746,118,16,2023-03-22-12-53
3995,945,1427,150,388,42,439,649,127,20,2023-03-22-13-05
4419,1045,1586,167,461,46,670,510,126,21,2023-03-22-13-26
4451,1041,1726,170,574,46,642,330,124,14,2023-03-22-13-41
4390,999,1794,191,614,49,614,242,116,11,2023-03-22-13-56
4447,1035,1817,198,622,52,605,234,121,13,2023-03-22-14-10
4443,1026,1817,198,633,53,604,238,112,13,2023-03-22-14-25
4445,1014,1829,206,628,50,604,240,118,12,2023-03-22-14-38
